handle,dataExtractionTime,rating,maxRating,nRatedContestParticipations,daysSinceRegistered,nSolvedProblems,nLastSolvedProblems,solvedProblemsPonderation,lastSolvedProblemsPonderation,solvedInterestingProblemsPonderation,lastSolvedInterestingProblemsPonderation,constancy,solvedProblemsMean,lastSolvedProblemsMean,performance1stLatestContest,performance2ndLatestContest,performance3rdLatestContest,performance4thLatestContest,ratingChange,futureRating
0d1n,1711747800.0,1453.0,1547.0,23.0,3351.0,233.0,63.0,5068383.075225941,1759466.2760943368,1094232.169072759,340022.88194591197,0.002263904014822803,713.9527896995709,840.6507936507936,1522.0,1421.0,1535.0,1450.0,164.0,1617.0
Alorithm,1711747800.0,1631.0,1675.0,41.0,416.0,149.0,126.0,1738129.0171515471,1605289.9711566456,285001.4663775981,279509.5854572572,0.009309680944792325,465.6442953020134,496.77777777777777,1580.0,1786.0,1842.0,1195.0,-104.0,1527.0
_.baba_yaga._,1711747800.0,1754.0,1815.0,103.0,665.0,1078.0,366.0,16180910.272057539,9185457.871070908,3456802.8733307472,2762218.7036211547,0.005421836937532231,558.430426716141,811.0273224043716,1736.0,1760.0,2060.0,1978.0,-10.0,1744.0
SkillZz_,1711747800.0,1506.0,1506.0,38.0,514.0,388.0,332.0,4787140.414586861,4250879.210190672,993214.467856994,937027.1828773652,0.002151657414559676,465.9072164948454,483.7590361445783,1605.0,1533.0,1297.0,1652.0,24.0,1530.0
lhyuu,1711747800.0,1441.0,1567.0,10.0,578.0,86.0,66.0,3048441.2015205063,2843250.709876468,268899.3881227575,224384.32057044632,0.01839641212192808,981.0930232558139,1151.4242424242425,1228.0,1347.0,1909.0,1237.0,97.0,1538.0
aayush01x,1711747800.0,1471.0,1471.0,11.0,248.0,146.0,146.0,1316671.9173168964,1316671.9173168964,178725.36857922576,178725.36857922576,0.002151657414559676,397.4931506849315,397.4931506849315,1618.0,1479.0,1766.0,1267.0,82.0,1553.0
Harsh2oo3,1711747800.0,1215.0,1245.0,45.0,351.0,277.0,267.0,4122520.5692992904,4026284.8033645106,673173.653693054,668106.8623020452,0.02345892598029808,588.971119133574,594.3632958801498,1155.0,1205.0,1656.0,1336.0,-116.0,1099.0
Nathan4,1711747800.0,1600.0,1646.0,22.0,621.0,251.0,44.0,2745885.7769514457,370488.910699566,590290.4190058528,82769.52454581509,0.002151657414559676,394.42231075697214,327.27272727272725,1462.0,1892.0,1492.0,1798.0,223.0,1823.0
embetapbay,1711747800.0,1392.0,1419.0,29.0,239.0,220.0,220.0,3127727.580251982,3127727.580251982,661262.0093390646,661262.0093390646,0.002666827866467448,541.6363636363636,541.6363636363636,1311.0,1437.0,1533.0,1502.0,12.0,1404.0
Pochen,1711747800.0,1509.0,1610.0,11.0,133.0,50.0,50.0,723499.2670928735,723499.2670928735,176920.05385814735,176920.05385814735,0.002151657414559676,525.0,525.0,1206.0,1793.0,1570.0,1413.0,356.0,1865.0
